番号,上の句,下の句,上の句かな,下の句かな,作者
73,高砂の をのへのさくら さきにけり,とやまのかすみ たたずもあらなむ,たかさこのをのへのさくらさきにけり,とやまのかすみたたすもあらなむ,前権中納言匡房
74,憂かりける 人を初瀬の 山おろしよ,はげしかれとは 祈らぬものを,うかりけるひとをはつせのやまおろしよ,はけしかれとはいのらぬものを,源俊頼朝臣
75,ちぎりおきし させもが露を いのちにて,あはれ今年の 秋もいぬめり,ちきりおきしさせもかつゆをいのちにて,あはれことしのあきもいぬめり,藤原基俊
76,わたの原 こぎいでてみれば 久方の,雲いにまがふ 沖つ白波,わたのはらこきいててみれはひさかたの,くもゐにまかふおきつしらなみ,法性寺入道前関白太政大臣
77,瀬をはやみ 岩にせかるる 滝川の,われても末に あはむとぞ思ふ,せをはやみいわにせかるるたきかはの,われてもすゑにあはむとそおもふ,崇徳院
78,淡路島 かよふ千鳥の 鳴く声に,幾夜ねざめぬ 須磨の関守,あはちしまかよふちとりのなくこゑに,いくよねさめぬすまのせきもり,源兼昌
79,秋風に たなびく雲の たえ間より,もれいづる月の 影のさやけさ,あきかせにたなひくくものたえまより,もれいつるつきのかけのさやけさ,左京大夫顕輔
80,長からむ 心もしらず 黒髪の,みだれてけさは 物をこそ思へ,なかからむこころもしらすくろかみの,みたれてけさはものをこそおもへ,待賢門院堀河
81,ほととぎす 鳴きつる方を ながむれば,ただありあけの 月ぞ残れる,ほとときすなきつるかたをなかむれは,たたありあけのつきそのこれる,後徳大寺左大臣
82,思ひわび さてもいのちは あるものを,憂きにたへぬは 涙なりけり,おもひわひさてもいのちはあるものを,うきにたへぬはなみたなりけり,道因法師
83,世の中よ 道こそなけれ 思ひ入る,山の奥にも 鹿ぞ鳴くなる,よのなかよみちこそなけれおもひいる,やまのおくにもしかそなくなる,皇太后宮大夫俊成
84,ながらへば またこのごろや しのばれむ,憂しと見し世ぞ 今は恋しき,なからへはまたこのころやしのはれむ,うしとみしよそいまはこひしき,藤原清輔朝臣
85,夜もすがら 物思ふころは 明けやらで,閨のひまさへ つれなかりけり,よもすからものおもふころはあけやらぬ,ねやのひまさへつれなかりけり,俊恵法師
86,なげけとて 月やは物を 思はする,かこち顔なる わが涙かな,なけけとてつきやはものをおもはする,かこちかほなるわかなみたかな,西行法師
87,村雨の 露もまだひぬ まきの葉に,霧たちのぼる 秋の夕ぐれ,むらさめのつゆもまたひぬまきのはに,きりたちのほるあきのゆふくれ,寂蓮法師
88,難波江の 蘆のかりねの ひとよゆゑ,みをつくしてや 恋ひわたるべき,なにはえのあしのかりねのひとよゆゑ,みをつくしてやこひわたるへき,皇嘉門院別当
89,玉の緒よ たえなばたえね ながらへば,忍ぶることの 弱りもぞする,たまのをよたえなはたえねなからへは,しのふることのよはりもそする,式子内親王
90,見せばやな 雄島のあまの 袖だにも,ぬれにぞぬれし 色はかはらず,みせはやなをしまのあまのそてたにも,ぬれにそぬれしいろはかはらす,殷富門院大輔
91,きりぎりす 鳴くや霜夜の さむしろに,衣かたしき ひとりかも寝む,きりきりすなくやしもよのさむしろに,ころもかたしきひとりかもねむ,後京極摂政前太政大臣
92,わが袖は 潮干にみえぬ 沖の石の,人こそしらね かわくまもなし,わかそてはしほひにみえぬおきのいしの,ひとこそしらねかわくまもなし,二条院讃岐
93,世の中は つねにもがもな なぎさこぐ,あまの小舟の 綱手かなしも,よのなかはつねにもかもななきさこく,あまのおふねのつなてかなしも,鎌倉右大臣
94,み吉野の 山の秋風 さ夜ふけて,ふるさと寒く 衣うつなり,みよしののやまのあきかせさよふけて,ふるさとさむくころもうつなり,参議雅経
95,おほけなく うき世の民に おほふかな,わがたつ杣に 墨染の袖,おほけなくうきよのたみにおほふかな,わかたつそまにすみそめのそて,前大僧正慈円
96,花さそふ 嵐の庭の 雪ならで,ふりゆくものは わが身なりけり,はなさそふあらしのにはのゆきならて,ふりゆくものはわかみなりけり,入道前太政大臣
97,こぬ人を まつほの浦の 夕なぎに,焼くやもしほの 身もこがれつつ,こぬひとをまつほのうらのゆふなきに,やくやもしほのみもこかれつつ,権中納言定家
98,風そよぐ ならの小川の 夕ぐれは,みそぎぞ夏の しるしなりける,かせそよくならのをかはのゆふくれは,みそきそなつのしるしなりける,従二位家隆
99,人もをし 人もうらめし あぢきなく,世を思ふゆゑに 物思ふ身は,ひともをしひともうらめしあちきなく,よをおもふゆゑにものおもふみは,後鳥羽院
100,ももしきや ふるき軒ばの しのぶにも,なほあまりある 昔なりけり,ももしきやふるきのきはのしのふにも,なほあまりあるむかしなりけり,順徳院
